cmc_id,name,current_name,symbol,name_in_coingecko
5957.0,DFI.Money,DFI.Money,YFII,DFI.money
5704.0,DFOhub,DFOhub,BUIDL,dfohub
6138.0,DIA,DIA,DIA,DIA
8307.0,DIGG,DIGG,DIGG,DIGG
5741.0,DMM: Governance,DMM: Governance,DMG,DMM: Governance
5952.0,DMScript,DMScript,DMST,DMScript
2503.0,DMarket,DMarket,DMT,DMarket
2711.0,DOC.COM,DOC.COM,MTC,Doc.com
7224.0,DODO,DODO,DODO,DODO
6623.0,DOGEFI,DOGEFI,DOGEFI,DogeFi
3809.0,DOS Network,DOS Network,DOS,DOS Network
3194.0,DPRating,DPRating,RATING,DPRating
5423.0,DSLA Protocol,DSLA Protocol,DSLA,DSLA Protocol
5589.0,DXdao,DXdao,DXD,DXdao
4943.0,Dai,Dai,DAI,Dai
8234.0,Daiquilibrium,Daiquilibrium,DAIQ,Daiquilibrium
3516.0,Dark,Dark,D4RK,DARK
9186.0,Dark Matter,Dark Matter,DMT,Dark Matter
5931.0,Darwinia Commitment Token,Darwinia Commitment Token,KTON,Darwinia Commitment Token
131.0,Dash,Dash,DASH,Dash
2260.0,Datamine,Datamine,DAM,Datamine
2283.0,Datum,Datum,DAT,Datum
6672.0,DeFi Omega,DeFi Omega,DFIO,DeFi Omega
8080.0,DeFi Yield Protocol,DeFi Yield Protocol,DYP,DeFi Yield Protocol
6796.0,DeFi of Thrones,DeFi of Thrones,DOTX,DeFi of Thrones
6243.0,DeFiPie,DeFiPie,PIE,DeFiPie
6850.0,DeFiat,DeFiat,DFT,DeFiat
7225.0,DeFiner,DeFiner,FIN,DeFiner
8181.0,DePay,DePay,DEPAY,DePay
4027.0,DeVault,DeVault,DVT,DeVault
7326.0,DeXe,DeXe,DEXE,DeXe
7877.0,Debase,Debase,DEBASE,Debase
5835.0,Decentr,Decentr,DEC,Decentr
7798.0,Decentral Games,Decentral Games,DG,Decentral Games
1966.0,Decentraland,Decentraland,MANA,Decentraland
1168.0,Decred,Decred,DCR,Decred
2316.0,DeepBrain Chain,DeepBrain Chain,DBC,DeepBrain Chain
1881.0,DeepOnion,DeepOnion,ONION,DeepOnion
9179.0,Defi For You,Defi For You,DFY,Defi For You
